SiteName,MonitorDate,Concentration,ItemUnit
朴子,2019-01-06,19,μg/m3
斗六,2019-01-06,18,μg/m3
南投,2019-01-06,12,μg/m3
彰化,2019-01-06,9,μg/m3
忠明,2019-01-06,8,μg/m3
豐原,2019-01-06,,μg/m3
三義,2019-01-06,5,μg/m3
苗栗,2019-01-06,8,μg/m3
新竹,2019-01-06,6,μg/m3
竹東,2019-01-06,4,μg/m3
平鎮,2019-01-06,6,μg/m3
桃園,2019-01-06,5,μg/m3
萬華,2019-01-06,6,μg/m3
士林,2019-01-06,4,μg/m3
板橋,2019-01-06,6,μg/m3
汐止,2019-01-06,6,μg/m3
基隆,2019-01-06,6,μg/m3
馬公,2019-01-03,9,μg/m3
金門,2019-01-03,17,μg/m3
馬祖,2019-01-03,23,μg/m3
宜蘭,2019-01-03,,μg/m3
陽明,2019-01-03,,μg/m3
花蓮,2019-01-03,3,μg/m3
臺東,2019-01-03,3,μg/m3
恆春,2019-01-03,2,μg/m3
屏東,2019-01-03,,μg/m3
前金,2019-01-03,34,μg/m3
林園,2019-01-03,39,μg/m3
美濃,2019-01-03,26,μg/m3
臺南,2019-01-03,23,μg/m3
新營,2019-01-03,19,μg/m3
嘉義,2019-01-03,25,μg/m3
朴子,2019-01-03,17,μg/m3
斗六,2019-01-03,23,μg/m3
南投,2019-01-03,20,μg/m3
彰化,2019-01-03,12,μg/m3
忠明,2019-01-03,11,μg/m3
豐原,2019-01-03,9,μg/m3
三義,2019-01-03,5,μg/m3
苗栗,2019-01-03,6,μg/m3
新竹,2019-01-03,4,μg/m3
竹東,2019-01-03,3,μg/m3
平鎮,2019-01-03,4,μg/m3
桃園,2019-01-03,4,μg/m3
萬華,2019-01-03,3,μg/m3
士林,2019-01-03,,μg/m3
板橋,2019-01-03,3,μg/m3
汐止,2019-01-03,3,μg/m3
基隆,2019-01-03,3,μg/m3
馬公,2018-12-31,8,μg/m3
金門,2018-12-31,12,μg/m3
馬祖,2018-12-31,14,μg/m3
宜蘭,2018-12-31,,μg/m3
陽明,2018-12-31,,μg/m3
花蓮,2018-12-31,3,μg/m3
臺東,2018-12-31,3,μg/m3
恆春,2018-12-31,3,μg/m3
屏東,2018-12-31,28,μg/m3
前金,2018-12-31,23,μg/m3
林園,2018-12-31,31,μg/m3
美濃,2018-12-31,21,μg/m3
臺南,2018-12-31,16,μg/m3
新營,2018-12-31,12,μg/m3
嘉義,2018-12-31,15,μg/m3
朴子,2018-12-31,13,μg/m3
斗六,2018-12-31,13,μg/m3
南投,2018-12-31,9,μg/m3
彰化,2018-12-31,8,μg/m3
忠明,2018-12-31,7,μg/m3
豐原,2018-12-31,,μg/m3
三義,2018-12-31,5,μg/m3
