MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
A01215,市府東門對面(松智路上)無線網路量測,2017-09-25,臺北市,信義區,市府東門對面(松智路上),無線區域網路(Wi-Fi),0.00099,mW/cm<sup>2</sup>,True
A01214,北投路與大興路口無線網路電磁波檢測,2017-09-04,臺北市,北投區,北投路與大興路口,無線區域網路(Wi-Fi),0.00056,mW/cm<sup>2</sup>,True
Q10255,太保市台37線嘉縣府0467號路燈旁,2017-06-01,嘉義縣,太保市,太保市台37線嘉縣府0467號路燈旁,落地型變壓器,0.966,mG,True
Q10254,太保市台37線嘉縣府0463號路燈旁,2017-05-31,嘉義縣,太保市,太保市台37線嘉縣府0463號路燈旁,落地型變壓器,0.688,mG,True
Q10253,太保市高鐵大道嘉縣府0192號路燈旁,2017-05-31,嘉義縣,太保市,太保市高鐵大道嘉縣府0192號路燈旁,落地型變壓器,18.7,mG,True
Q10252,太保市高鐵大道嘉縣府0182號路燈旁,2017-05-31,嘉義縣,太保市,太保市高鐵大道嘉縣府0182號路燈旁,落地型變壓器,11.49,mG,True
Q10251,太保市高鐵大道嘉縣府0179號路燈旁,2017-05-31,嘉義縣,太保市,太保市高鐵大道嘉縣府0179號路燈旁,落地型變壓器,0.87,mG,True
Q10250,太保市保鐵一路嘉縣府0171號路燈旁,2017-06-01,嘉義縣,太保市,太保市保鐵一路嘉縣府0171號路燈旁,落地型變壓器,1.364,mG,True
F01092,深美ES電磁場報告,2015-07-01,新北市,深坑區,昇高村北深路一段249巷6號,變電所,55.1,mG,True
H01112,桃園市中壢區環西路二段373號前落地型變壓器量測,2017-08-17,桃園市,中壢區,環西路二段373號前,落地型變壓器,59.7,mG,True
H01111,桃園市中壢區環西路二段325號前落地型變壓器量測,2017-08-17,桃園市,桃園區,中壢區環西路二段325號,落地型變壓器,38.4,mG,True
H01110,大華變電所量測,2017-09-07,桃園市,蘆竹區,大竹村大新路166號,變電所,58,mG,True
V00891,基地台電磁波量測,2017-08-03,臺東縣,卑南鄉,初鹿段351地號,手機基地臺,0.00225,mW/cm<sup>2</sup>,True
Q10289,民雄鄉三興路196號前,2017-08-04,嘉義縣,民雄鄉,民雄鄉三興路196號前,落地型變壓器,6.955,mG,True
A01222,臺北市政府7樓東北區辦公區無線網路電磁波量測,2017-09-25,臺北市,信義區,市府路1號,無線區域網路(Wi-Fi),0.001808,mW/cm<sup>2</sup>,True
A01221,臺北市政府7樓東北區走道無線網路電磁波量測,2017-09-25,臺北市,信義區,市府路1號,無線區域網路(Wi-Fi),0.000211,mW/cm<sup>2</sup>,True
A01220,松壽路與松智路口無線網路電磁波量測,2017-09-25,臺北市,信義區,松壽路與松智路口,無線區域網路(Wi-Fi),0.00102,mW/cm<sup>2</sup>,True
M10161,草屯鎮草溪路605號全家便利商店,2017-06-30,南投縣,草屯鎮,草屯鎮草溪路605號,無線區域網路(Wi-Fi),1.9E-05,mW/cm<sup>2</sup>,True
M10162,草屯鎮富林路一段320號全家便利商店,2017-06-30,南投縣,草屯鎮,草屯鎮富林路一段320號,無線區域網路(Wi-Fi),7E-06,mW/cm<sup>2</sup>,True
V00890,基地台電磁波量測,2017-08-03,臺東縣,卑南鄉,初鹿段351地號,手機基地臺,0.00221,mW/cm<sup>2</sup>,True
Q10294,太保市保鐵七路靠近168線上,2017-07-27,嘉義縣,太保市,太保市保鐵七路靠近168線上,落地型變壓器,1.26,mG,True
Q10288,民雄鄉三興路170號前,2017-08-15,嘉義縣,民雄鄉,民雄鄉三興路170號前,落地型變壓器,2.153,mG,True
J00900,全家便利商店_竹北大悅店_無線區域網路(Wi-Fi)量測,2017-09-07,新竹縣,竹北市,勝利八街一段225號,無線區域網路(Wi-Fi),1.930932E-06,mW/cm<sup>2</sup>,True
Q10284,民雄鄉三興路129號前,2017-08-04,嘉義縣,民雄鄉,民雄鄉三興路129號,落地型變壓器,4.108,mG,True
Q10293,民雄鄉神農路38號前,2017-08-15,嘉義縣,民雄鄉,民雄鄉神農路38號前,落地型變壓器,2.859,mG,True
Q10292,民雄鄉神農路36號前,2017-08-15,嘉義縣,民雄鄉,民雄鄉神農路36號前,落地型變壓器,3.15,mG,True
Q10291,民雄鄉神農三街與神農路口,2017-08-15,嘉義縣,民雄鄉,民雄鄉神農三街與神農路口,落地型變壓器,3.539,mG,True
A01219,松高路與松智路口無線網路電磁波量測,2017-09-27,臺北市,信義區,松高路與松智路口,無線區域網路(Wi-Fi),0.000591,mW/cm<sup>2</sup>,True
A01218,松高路與松仁路口無線網路電磁波量測,2017-09-27,臺北市,信義區,松高路與松仁路口,無線區域網路(Wi-Fi),0.00209,mW/cm<sup>2</sup>,True
A01217,松高路16號對面無線網路電磁波量測,2017-09-25,臺北市,信義區,松高路16號對面,無線區域網路(Wi-Fi),0.000241,mW/cm<sup>2</sup>,True
